id,timestamp,open,close,low,high,volume,wave_signal,dif,flat,green,ema5,ema10,condition1,condition2,tmp_wave,tmp_orphans,condition3,condition4
1,2023-12-07 00:05:00+00,43736.88,43763.13,43733.48,43800.0,19.794445,0,26.25,False,True,43763.13,43763.13,0,False,False,0,0,False
2,2023-12-07 00:10:00+00,43763.13,43748.92,43710.64,43766.92,31.167757,0,-14.209999999999127,False,False,43754.604,43755.3145,0,True,False,1,0,False
3,2023-12-07 00:15:00+00,43749.15,43788.98,43743.69,43801.31,16.877894,0,39.830000000001746,False,True,43770.88736842105,43768.84780730897,1,False,True,0,1,False
4,2023-12-07 00:20:00+00,43788.99,43835.8,43786.32,43838.77,14.933919,1,46.81000000000495,False,True,43797.85107692308,43790.90557178218,1,True,True,0,1,False
5,2023-12-07 00:25:00+00,43833.76,43845.08,43807.96,43853.28,28.152956,1,11.319999999999709,False,True,43815.98161137441,43806.45757671418,1,True,True,0,1,False
6,2023-12-07 00:30:00+00,43845.07,43863.95,43842.73,43867.54,19.96753,1,18.87999999999738,False,True,43833.50990977444,43821.390344934356,1,True,True,0,1,False
7,2023-12-07 00:35:00+00,43866.34,43853.95,43847.46,43887.56,27.429543,1,-12.389999999999418,False,False,43840.74683341428,43829.23591385238,1,True,True,0,0,False
8,2023-12-07 00:40:00+00,43853.96,43890.0,43848.94,43890.0,17.340656,1,36.04000000000087,False,True,43857.831159397305,43843.060036289666,1,True,True,0,1,False
9,2023-12-07 00:45:00+00,43890.0,43868.16,43857.97,43903.6,22.090589,1,-21.839999999996508,False,False,43861.36605706537,43848.5209100382,1,True,True,0,0,False
10,2023-12-07 00:50:00+00,43868.16,43881.35,43863.07,43914.3,15.237373,1,13.189999999995052,False,True,43868.144927358895,43855.41686277571,1,True,True,0,0,False
11,2023-12-07 00:55:00+00,43880.18,43825.35,43812.2,43900.19,15.172667,1,-54.830000000001746,False,False,43853.71310498632,43849.2745786048,1,False,False,0,0,False
12,2023-12-07 01:00:00+00,43829.23,43881.63,43826.26,43886.15,14.091317,0,52.39999999999418,False,True,43863.09101546426,43855.739132582574,1,False,True,0,1,False
13,2023-12-07 01:05:00+00,43880.31,43901.85,43855.7,43917.52,25.02746,1,21.540000000000873,False,True,43876.077404041665,43864.78927799461,1,True,True,0,1,False
14,2023-12-07 01:10:00+00,43904.38,43922.58,43895.45,43929.0,14.943383,1,18.200000000004366,False,True,43891.631549891594,43875.970242822186,1,True,True,0,1,False
15,2023-12-07 01:15:00+00,43922.59,43909.71,43884.4,43930.98,15.039133,1,-12.87999999999738,False,False,43897.67149309391,43882.422781364054,1,True,True,0,0,False
16,2023-12-07 01:20:00+00,43911.27,43922.28,43885.17,43924.2,15.496657,1,11.010000000002037,False,True,43905.88683608654,43889.974070102515,1,True,True,0,1,False
17,2023-12-07 01:25:00+00,43919.99,43908.23,43904.15,43929.76,37.480301,1,-11.759999999994761,False,False,43906.668684268385,43893.40658564205,1,True,True,0,0,False
18,2023-12-07 01:30:00+00,43908.22,43917.87,43887.2,43934.64,24.662642,1,9.650000000001455,False,True,43910.40498430705,43897.977885231594,1,True,True,0,1,False
19,2023-12-07 01:35:00+00,43918.73,43913.11,43839.1,43921.27,21.843502,1,-5.620000000002619,True,True,43911.307063126136,43900.79132059355,1,True,True,0,0,False
20,2023-12-07 01:40:00+00,43913.11,43903.55,43896.87,43920.54,12.554549,1,-9.559999999997672,False,False,43908.72059759312,43901.302129804644,1,False,False,0,0,False
21,2023-12-07 01:45:00+00,43901.31,43883.69,43847.4,43933.87,34.323591,0,-17.619999999995343,False,False,43900.37539196708,43898.051866478076,1,False,False,1,0,False
22,2023-12-07 01:50:00+00,43883.69,43912.68,43880.03,43913.81,9.784088,0,28.989999999997963,False,True,43904.47747625108,43900.744096407754,1,False,True,0,1,False
23,2023-12-07 01:55:00+00,43912.68,43934.99,43911.98,43959.07,15.539544,1,22.30999999999767,False,True,43914.64922385213,43907.03287040494,1,True,True,0,1,False
