Oferta od	Marka pojazdu	Model pojazdu	Rok produkcji	Przebieg	Pojemność skokowa	Rodzaj paliwa	Moc	Skrzynia biegów	Liczba drzwi	Kolor	Rodzaj koloru	Kraj pochodzenia	Data pierwszej rejestracji w historii pojazdu	Zarejestrowany w Polsce	Stan	tytul	url	cena
Prywatne	MINI	Cooper	2011	78500	15983	Benzyna	122	Manualna	3	Pomarańczowy	Metalik	Włochy	06 grudzień 2011	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-coupe-bardzo-dobry-stan-niski-przebieg-ID6FNdTx.html	37900
Firma	MINI	ONE	2011	96000	15983	Benzyna	90	Manualna	3	Czarny					Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6-benzyna-96tys-km-przebiegu-fv-vat-23-ID6FRZFx.html	24800
Prywatne	MINI	Clubman	2013	97775	15983	Benzyna	98	Manualna	5	Beżowy			26 grudzień 2013	Tak	Używane	MINI Clubman	https://www.otomoto.pl/osobowe/oferta/mini-clubman-mini-clubman-one-ID6FNaw3.html	32900
Prywatne	MINI	Countryman	2013	99779	15983	Benzyna	184	Automatyczna	5	Czerwony			11 kwiecień 2013	Tak	Używane	MINI Countryman Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FAXnH.html	40000
Prywatne	MINI	ONE	2014	82000	11983	Benzyna	102	Manualna	3	Zielony	Metalik	Francja		Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-niski-przebieg-ID6FTt0b.html	36900
Prywatne	MINI	Countryman	2011	82500	15983	Benzyna	122	Automatyczna	5	Granatowy					Używane	MINI Countryman Cooper	https://www.otomoto.pl/osobowe/oferta/mini-countryman-stan-bardzo-dobry-niski-przebieg-ID6FOr5i.html	37500
Firma	MINI	ONE	2010	75000	15983	Diesel	90	Manualna	3	Zielony	Metalik	Belgia	31 sierpień 2010		Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6d-klimatronik-alu-niski-przebieg-gwarancja-ID6FPNI2.html	25900
Prywatne	MINI	Cooper	2008	99850	15603	Diesel	110	Manualna	3	Czarny			09 kwiecień 2008		Używane	MINI Cooper D	https://www.otomoto.pl/osobowe/oferta/mini-cooper-bardzo-dobry-samachod-ID6FRD9M.html	18500
Prywatne	MINI	ONE	2012	85400	15983	Benzyna	75	Manualna	3	Czerwony	Metalik	Polska	09 październik 2012	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-2012-85kkm-przebiegu-krajowy-ID6FWnnM.html	25000
Prywatne	MINI	Cooper	2010	61000	15983	Benzyna	122	Automatyczna	3	Żółty	Matowy		styczeń 2010	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-bogata-wersja-maly-przebieg-ID6FWlBG.html	29000
Prywatne	MINI	Cooper S	2011	94900	15983	Benzyna	184	Manualna	2	Szary		Szwajcaria		Tak	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-r56-jcw-pakiet-stylistyczny-184km-przebieg-95000-km-ID6FR3ek.html	37900
