| Oferta od   | Marka pojazdu   | Model pojazdu   | Generacja      |   Rok produkcji |   Przebieg |   Pojemność skokowa | Rodzaj paliwa   |   Moc | Skrzynia biegów   |   Liczba drzwi | Kolor      | Rodzaj koloru   | Data pierwszej rejestracji w historii pojazdu   | Zarejestrowany w Polsce   | Pierwszy właściciel (od nowości)   | Bezwypadkowy   | Serwisowany w ASO   | Stan    | title                                               | url                                                                                                                                    |   price |
|:------------|:----------------|:----------------|:---------------|----------------:|-----------:|--------------------:|:----------------|------:|:------------------|---------------:|:-----------|:----------------|:------------------------------------------------|:--------------------------|:-----------------------------------|:---------------|:--------------------|:--------|:----------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------|--------:|
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2019 |      29000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | Metalik         | 21 styczeń 2019                                 | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-szukasz-idealu-zapraszam-nawi-tempomat-podgrzewane-fotele-ID6FRmcm.html             |   39999 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      85904 |               11973 | Benzyna         |   118 | Manualna          |              5 | Srebrny    | nan             | 22 czerwiec 2017                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio Grandtour Energy TCe 120 Bose Edition  | https://www.otomoto.pl/osobowe/oferta/renault-clio-gt-line-nawigacja-grzane-fotele-ID6FRNvt.html                                       |   39999 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      42000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | Matowy          | 20 czerwiec 2018                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-iv-1-2-benzynz-maly-przebieg-ladny-po-oplatach-ID6EWh5K.html                   |   39990 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      93000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Bordowy    | Metalik         | 30 listopad 2018                                | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Intens                  | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-tce90-start-stop-intens-ID6FSSBK.html                                  |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      83081 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | Metalik         | 02 styczeń 2018                                 | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-polski-salon-1wl-100-bezwypadkowy-stan-perfekcyjny-ID6FToUQ.html                    |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      40624 |                8983 | Benzyna         |    90 | Manualna          |              5 | Brązowy    | Perłowy         | 18 marzec 2016                                  | Tak                       | nan                                | nan            | Tak                 | Używane | Renault Clio (Energy) TCe 90 Start & Stop INTENS    | https://www.otomoto.pl/osobowe/oferta/renault-clio-naviwolnerece40tysprzebiegklimatronikceramika-ID6Fu7F3.html                         |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      82500 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | Matowy          | 11 lipiec 2016                                  | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 0.9 Energy TCe Limited EU6             | https://www.otomoto.pl/osobowe/oferta/renault-clio-wyjatkowy-wyglad-idealny-stan-jeden-wlasciciel-ID6FSBo5.html                        |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |      48500 |               11493 | Benzyna         |    73 | Manualna          |              5 | Czarny     | Metalik         | 26 kwiecień 2018                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-liftlimited1-2-benzynkanaviklimaelektrykatempomatniski-przebieg-ID6Fzyeu.html       |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |      26200 |                8983 | Benzyna         |    76 | Manualna          |              5 | Biały      | nan             | nan                                             | nan                       | Tak                                | nan            | Tak                 | Używane | Renault Clio 0.9 TCe Life                           | https://www.otomoto.pl/osobowe/oferta/renault-clio-kredyt-12-2018r-klima-serwisowany-w-aso-ID6FU5Xg.html                               |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      25880 |               11493 | Benzyna         |    74 | Manualna          |              5 | Biały      | Metalik         | 06 sierpień 2018                                | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 1.2 16V 75 Limited                     | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-benzyna-wersja-limited-ID6FPw12.html                                            |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      91300 |               11493 | Benzyna         |    75 | Manualna          |              5 | Biały      | nan             | 25 kwiecień 2016                                | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Limited EU6                    | https://www.otomoto.pl/osobowe/oferta/renault-clio-iv-1-2-16v-75km-limited-ID6FTBXc.html                                               |   39900 |
| Firma       | Renault         | Clio            | V (2019-)      |            2019 |      60000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Metalik         | nan                                             | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-90-km-jak-nowy-benzyna-led-tempomat-salon-pl-fv23-ID6FToPY.html                 |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2019 |      55000 |                9003 | Benzyna         |    90 | Manualna          |              5 | Szary      | nan             | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-ID6FNSAX.html                                                                       |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      86879 |               11493 | Benzyna         |    73 | Manualna          |              5 | Czerwony   | Metalik         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-gwarancja-klima-super-stan-ID6FQI5X.html                                            |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      65000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Inny kolor | Perłowy         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio ENERGY TCe 90 Start & Stop Paris       | https://www.otomoto.pl/osobowe/oferta/renault-clio-serwisowany-initiale-paris-nawigacja-kamera-ID6FU2kv.html                           |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2019 |      37540 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Metalik         | 27 czerwiec 2019                                | nan                       | nan                                | Tak            | nan                 | Używane | Renault Clio 0.9 Energy TCe Life                    | https://www.otomoto.pl/osobowe/oferta/renault-clio-sliczne-niski-przebieg-gwarancja-polecam-ID6FN5qU.html                              |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2019 |      62253 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | nan             | 17 wrzesień 2019                                | Tak                       | Tak                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Alize                   | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-0-9-energy-tce-alize-benzyna-manualna-5-drzwi-90km-ID6FQtM2.html               |   39900 |
