| Oferta od   | Pokaz oferty z numerem VIN   | Marka pojazdu   | Model pojazdu   | Wersja                   |   Rok produkcji |   Przebieg |   Pojemnosc skokowa | Rodzaj paliwa   |   Moc | Skrzynia biegow   | Spalanie W Miescie   | Typ nadwozia   |   Liczba drzwi |   Liczba miejsc | Kolor        | Rodzaj koloru   | Stan    | Oblicz   |   cena | description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | wyposazenie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | dealer                                                                                                                     | loc                                                                                                      | tytul                                    |
|:------------|:-----------------------------|:----------------|:----------------|:-------------------------|----------------:|-----------:|--------------------:|:----------------|------:|:------------------|:---------------------|:---------------|---------------:|----------------:|:-------------|:----------------|:--------|:---------|-------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------|:---------------------------------------------------------------------------------------------------------|:-----------------------------------------|
| Prywatne    | Tak                          | MINI            | Cooper          | Standard                 |            2012 |      89000 |               15983 | Benzyna         |   122 | Manualna          | 6 l/100km            | Auta miejskie  |              3 |               4 | Czerwony     | Metalik         | Uzywane | VIN      |  39900 | Zadbany Mini Cooper. Jestem 3 wlascicielem od 3 lat. Od tego czasu wszystkie drobne naprawy, bo tylko takie byly, wykonane na czas. Serwis olejowo-filtrowy, nie pozniej niz co roku i ok 8000-10000km. Zadnych problemow, nie wymaga wkladu finansowego. Opony DOT 21, wielosezonowe.Usunieta typowa przyczyna usterki tego silnika- OE napinacz lancucha rozrzadu.Auto zarejestrowane w Niemczech w ciaglym uzytku. Prosze dzwonic, jezeli nie odbieram, prosze pisac na whats app..ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | ['Interfejs Bluetooth', 'Radio', 'Zestaw glosnomowiacy', 'Klimatyzacja manualna', 'Tapicerka czesciowo skorzana', 'Kierownica skorzana', 'Kierownica ze sterowaniem radia', 'Czujnik deszczu', 'Elektryczne szyby przednie', 'Przyciemniane tylne szyby', 'Tempomat', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'Lusterka boczne ustawiane elektrycznie', 'Kontrola trakcji', 'Czujnik zmierzchu', 'Swiatla do jazdy dziennej', 'Lampy przeciwmgielne', 'System Start/Stop', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'Felgi aluminiowe 17', 'Opony wielosezonowe', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczne poduszki powietrzne - przod', 'Kurtyny powietrzne - tyl', 'Isofix (punkty mocowania fotelika dzieciecego)']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | ['Kuba', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2017']                                                               | Slubice, slubicki, Lubuskie                                                                              | MINI Cooper Standard                     |
| Prywatne    | Tak                          | MINI            | Cooper S        | nan                      |            2009 |     100000 |               15983 | Benzyna         |   175 | Manualna          | 7 l/100km            | Auta male      |              3 |               4 | Czerwony     | nan             | Uzywane | VIN      |  28905 | tel..ooa-1fxx9tj{background-color:transparent;border:none;color:#0071CE;cursor:pointer;font-size:16px;padding:0;white-space:break-spaces;}Wyswietl numerMINI COOPER S1,6 TURBO 175KMWERSJA SNISKI PRZEBIEG, ZALEDWIE 106tys.km.!!SILNIK, MOCNY I SZYBKIImport-Niemcyladne i zadbane autoBEZWYPADKOWY!!!DOSKONALY STAN TECHNICZNY I WIZUALNYWNETRZE CZYSTE I NIE ZNISZCZONE, BEZ OZNAK ZUZYCIA.ZAPRASZAM.Polecam !!!OFERUJEMY MOZLIWOSC WYKUPIENIA GWARANCJI MECHANICZNEJ NA OKRES OD 6-ciu DO 36-ciu Miesiecy.,,Istnieje mozliwosc objecia auta programem UZYWANY GWARANTOWANY, analogicznym jak w sieci dealerskie na auta uzywane.Jest to program przedluzonej gwarancji na okres od 6 miesiecy do 36 miesiecy."Naprawy bezgotowkowe (czesci i robocizna) odbywaja sie w ASO lub wybranym przez klienta warsztacie.Zasieg terytorialny gwarancji na terenie Polski jak i calej UE.Program Gwarancji Defend Car Protect uchroni Cie od niespodziewanych kosztow napraw.ZAPRASZAM NA OGLEDZINY I JAZDE PROBNA.codziennie od 10 do 18SOBOTA od 09 do 15NIEDZIELA od 12 do 14-Szczegolowe warunki sprzedazy,wyposazenie, stan prezentowanych pojazdow, cene,aktualnosc oferty prosimy potwierdzic kontaktujacsie z nami bezposrednio pod nr. telefonuInformacje zaprezentowane na stronach niniejszegoserwisu nie stanowia oferty w rozumieniu przepisowkodeksu cywilnego.Opis moze zawierac bledy..ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | ['Radio', 'Tapicerka materialowa', 'Sportowe fotele - przod', 'Kierownica skorzana', 'Elektryczne szyby przednie', 'Lusterka boczne ustawiane elektrycznie', 'Kontrola trakcji', 'System Start/Stop', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'Felgi aluminiowe 16', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Kurtyny powietrzne - tyl', 'Isofix (punkty mocowania fotelika dzieciecego)']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | ['Marcel', 'Osoba prywatna', 'Bardzo sprawnie odpowiada', 'Sprzedajacy na OTOMOTO od 2023']                                | Zawiercie, Centrum                                                                                       | MINI Cooper S                            |
| Prywatne    | Tak                          | MINI            | Cooper          | nan                      |            2009 |      96600 |               15983 | Benzyna         |   115 | Manualna          | nan                  | Kabriolet      |              2 |             nan | Granatowy    | nan             | Uzywane | VIN      |  19950 | Sprzedam Mini Cooper Cabrio z 2009r.Auto garazowane z niskim przebiegiem.Jako 3-e auto w domu, rocznie przejezdzalo okolo 5 tys km.Auto nabiezaco serwisowane w ostatnim czasie wymienione:olej silnika+ filtr 5w40 Shell Helix Ultra,tarcze hamulcowe+ klocki,akumulator.Ewentualnie do wymiany opony zimowe.Auto mialo naprawiane lewe drzwi (widac po spasowaniu).Auto posiada drobne rysy.OC wazne do 07.2024.Przeglad techniczny do 09.2024.Dwa komplety kol zimowe na stalowych felgach oraz letnie na alufelgach..ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | ['Radio', 'Klimatyzacja automatyczna', 'Dach z tworzywa sztucznego', 'Podlokietniki - przod', 'Elektryczne szyby przednie', 'Elektryczne szyby tylne', 'Wycieraczki', 'Dach otwierany elektrycznie', 'Wspomaganie kierownicy', 'Opony runflat', 'ABS', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ['Dariusz', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2015']                                                            | Poznan, Stare Miasto                                                                                     | MINI Cooper                              |
| Prywatne    | Tak                          | MINI            | ONE             | Standard                 |            2014 |      82000 |               11983 | Benzyna         |   102 | Manualna          | 5 l/100km            | Auta male      |              3 |               4 | Zielony      | Metalik         | Uzywane | VIN      |  36900 | Dzien dobrySprzedam mini one z 2014 roku auto z malym przebiegiem niecale 82000km, samochod serwisowany na biezaco niskie spalanie 5.4l w miescie 4.5l w trasie uzywane glownie na dojazdy do pracy sporadycznie trasyZapraszam do kontaktu.ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | ['Radio', 'Gniazdo USB', 'Tapicerka materialowa', 'Uruchamianie silnika bez uzycia kluczykow', 'Elektryczne szyby przednie', 'Wycieraczki', 'Kontrola trakcji', 'Swiatla do jazdy dziennej', 'System Start/Stop', 'Elektroniczna kontrola cisnienia w oponach', 'Felgi aluminiowe 15', 'Zawieszenie komfortowe', 'ABS', 'ESP', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczne poduszki powietrzne - przod', 'Kurtyny powietrzne - tyl', 'Isofix (punkty mocowania fotelika dzieciecego)']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ['Mateusz', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2017']                                                            | Lodz, Polesie                                                                                            | MINI ONE Standard                        |
| Firma       | Tak                          | MINI            | Cooper          | nan                      |            2005 |      38000 |               15983 | Benzyna         |   115 | Automatyczna      | 8,70 l/100km         | Kabriolet      |              3 |               4 | Szary        | nan             | Uzywane | VIN      |  18500 | Mini Cooper to nie tylko samochod marzen, to samochod, ktory ucielesnia cala osobowosc wlasciciela.Super wygodny kabriolet z niskim przebiegiem. Auto jest jak na weekend tak i na co dzien.Idealny samochod o maksymalnym wyposazeniu i oryginalnym przebiegu. Nie wymaga zadnej inwestycji!!! Bardzo ekonomicznyKazde mini to indywidualnosc.Przyjmiemy Twoje autow rozliczeniu,a w zamian damy ci oplacone i gotowe do jazdy autko!SKUPUJEMY WSZYSTKIE MARKI SAMOCHODOW!Niniejsze ogloszenie jest wylacznie informacja handlowa i nie stanowi oferty w mysl art. 66, SS 1. Kodeksu Cywilnego. Sprzedajacy nie odpowiada za ewentualne bledy lub nieaktualnosc ogloszenia. Indywidualne uzgodnienie wlasciwosci i specyfikacji pojazdu nastepuje przy sprzedazy auta. Zapis ten zostal zamieszczony ze wzgledu na mozliwosc niezamierzonych pomylek. Jezeli zauwazysz niescislosc napisz do nas..ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ['Radio', 'System naglosnienia', 'Klimatyzacja manualna', 'Siedzenie z pamiecia ustawienia', 'Sportowe fotele - przod', 'Kierownica skorzana', 'Kierownica sportowa', 'Dzwignia zmiany biegow wykonczona skora', 'Uruchamianie silnika bez uzycia kluczykow', 'Elektryczne szyby przednie', 'Kontrola trakcji', 'Wspomaganie ruszania pod gore- Hill Holder', 'Lampy przeciwmgielne', 'Oswietlenie wnetrza LED', 'Elektroniczna kontrola cisnienia w oponach', 'ABS', 'ESP', 'Elektroniczny system rozdzialu sily hamowania', 'System wspomagania hamowania', 'Aktywny asystent hamowania awaryjnego', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczne poduszki powietrzne - przod', 'Kurtyny powietrzne - tyl', 'Isofix (punkty mocowania fotelika dzieciecego)']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | ['STO Auto', 'Sprzedajacy profesjonalny', 'Bardzo sprawnie odpowiada', 'Sprzedajacy na OTOMOTO od 2023']                   | Jozefa Chlopickiego 73 - 00-001 Warszawa, Mazowieckie (Polska)                                           | MINI Cooper                              |
| Prywatne    | Tak                          | MINI            | ONE             | Standard                 |            2007 |      97500 |               13973 | Benzyna         |    95 | Manualna          | 7 l/100km            | Auta male      |              3 |               4 | Niebieski    | Metalik         | Uzywane | VIN      |  16900 | MINI ONE, 2007 r., 1,4 benzyna, przebieg 97,5 tys.  Osoba prywatna..ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ['Radio', 'Tapicerka materialowa', 'Elektryczne szyby przednie', 'Lusterka boczne ustawiane elektrycznie', 'Kontrola trakcji', 'System Start/Stop', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'Felgi stalowe', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Kurtyny powietrzne - tyl', 'Isofix (punkty mocowania fotelika dzieciecego)']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | ['Michal', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2023']                                                             | Gdynia, Chwarzno-Wiczlino                                                                                | MINI ONE Standard                        |
| Firma       | Tak                          | MINI            | Cooper          | nan                      |            2014 |      96545 |               15983 | Benzyna         |   122 | Automatyczna      | nan                  | Kabriolet      |              2 |               4 | Pomaranczowy | Metalik         | Uzywane | VIN      |  36272 | Cena Netto: 29 490 PLN + 23 % VATWyposazenie:-NISKI PRZEBIEG!-ABS,-ASR,-przekladnia automatyczna, -2 drzwi, -naped 4x2,-radio, -antena stala, -klimatyzacja, -szyby barwione, -4 poduszki powietrzne, -tapicerka skorzana, -elektryczne sterowanie lusterek,-centralny zamek, -Park Tronic, -wielofunkcyjna kierownica, -halogeny przednie,-aluminiowe felgi,-pilot centralnego zamka---------------------------------------------------------------------------------------------------------------Powyzsze ogloszenie nie stanowi oferty handlowej w rozumieniu art. 66 Kodeksu Cywilnego, a jest jedynie informacja o sprzedazy.Przyjdz na plac wystawowy w Gdansku i sprawdz sam nasza oferte.Dlaczego my?Dzialamy aktywnie na rynku motoryzacyjnym od 1996 r. Od tego czasu sprzedalismy setki pojazdow i maszyn, a naszym finansowaniem leasingiem wsparlismy dzialalnosc wielu polskich przedsiebiorcow. Mozesz nam zaufac. Czym sie wyrozniamy?* obsluga klienta na najwyzszym poziomie;* elastyczny harmonogram splat;* ubezpieczenie rozlozone na raty. Czym sie zajmujemy?Specjalizujemy sie w sprzedazy gotowkowej oraz bezgotowkowej pojazdow od samochodow osobowych, dostawczych, ciezarowych, ciagnikow siodlowych i autobusow, do maszyn budowlanych i rolniczych. Finansujemy rowniez lodzie i jachty.Czy oferujemy finansowanie?Tak, mozesz wziac u nas w leasing pojazd lub maszyne bez posrednikow. Udzielamy finansowania rowniez tym przedsiebiorcom, ktorzy dopiero rozpoczynaja swoja dzialalnosc, a takze tym, ktorzy maja wpisy w bazach BIG i KRD:* Leasing na START - juz od 1. dnia dzialalnosci;* Leasing zwrotny lub z kompensata - jesli masz juz pojazd, a chcesz uzyskac dodatkowe srodki;* Leasing pojazdow 10+ - leasing pojazdow nawet starszych niz 10 lat. Wartosc kazdego pojazdu oceniamy indywidualnie;* Leasing bez BIG i KRD - wpisy w bazach nie sa dla nas przeszkoda.* NOWOSC Transfer Leasing - pomoc w wykupie pojazdu z innego leasingu i uruchomienie nowej umowy.Otrzymujesz nizsza rate + wyplate srodkow..ooa-1kxpgnj{display:inline-block;margin:0;padding:0;width:0;}                                                                                                                                                                                                                                                                                                                                                                                                       | ['Radio', 'Klimatyzacja automatyczna', 'Dach materialowy', 'Tapicerka skorzana', 'Kierownica wielofunkcyjna', 'Zmiana biegow w kierownicy', 'Elektryczne szyby przednie', 'Wycieraczki', 'Kontrola odleglosci z przodu (przy parkowaniu)', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'ABS', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | ['GTL Pojazdy Uzytkowe', 'Sprzedajacy profesjonalny', 'Bardzo sprawnie odpowiada', 'Sprzedajacy na OTOMOTO od 2006']       | Budowlanych 72 - 80-298 Gdansk, Pomorskie (Polska)                                                       | MINI Cooper                              |
