"TICKER"|"DATE"|"OPEN"|"CLOSE"|"LOW"|"HIGH"|"VOLUME"
"AACG"|"2022-12-29"|"1.45"|"1.35"|"1.24"|"1.5"|"26500"
"AACG"|"2022-12-30"|"1.23"|"1.27"|"1.13"|"1.32"|"14400"
"AACG"|"2023-01-03"|"1.22"|"1.26"|"1.22"|"1.3"|"7000"
"AACG"|"2023-01-04"|"1.28"|"1.27"|"1.25"|"1.28"|"1400"
"AACG"|"2023-01-05"|"1.24"|"1.32"|"1.24"|"1.37"|"2300"
"AACG"|"2023-01-06"|"1.36"|"1.41"|"1.35"|"1.44"|"1300"
"AACG"|"2023-01-09"|"1.42"|"1.4"|"1.4"|"1.48"|"7400"
"AACG"|"2023-01-10"|"1.39"|"1.39"|"1.38"|"1.39"|"1400"
"AACG"|"2023-01-11"|"1.39"|"1.38"|"1.28"|"1.41"|"6600"
"AACG"|"2023-01-12"|"1.38"|"1.35"|"1.35"|"1.42"|"4600"
"AACG"|"2023-01-13"|"1.38"|"1.37"|"1.37"|"1.38"|"600"
"AACG"|"2023-01-17"|"1.38"|"1.38"|"1.38"|"1.45"|"1800"
"AACG"|"2023-01-18"|"1.46"|"1.43"|"1.36"|"1.46"|"5000"
"AACG"|"2023-01-19"|"1.41"|"1.35"|"1.35"|"1.41"|"18900"
"AACG"|"2023-01-20"|"1.38"|"1.37"|"1.31"|"1.44"|"18300"
"AACG"|"2023-01-23"|"1.37"|"1.44"|"1.37"|"1.44"|"12000"
"AACG"|"2023-01-24"|"1.4"|"1.44"|"1.38"|"1.44"|"3700"
"AACG"|"2023-01-25"|"1.38"|"1.44"|"1.35"|"1.44"|"6900"
"AACG"|"2023-01-26"|"1.44"|"1.48"|"1.36"|"1.48"|"14500"
"AACG"|"2023-01-27"|"1.4"|"1.42"|"1.36"|"1.47"|"6000"
"AACG"|"2023-01-30"|"1.38"|"1.45"|"1.38"|"1.46"|"7000"
"AACG"|"2023-01-31"|"1.48"|"1.44"|"1.43"|"1.48"|"21600"
"AACG"|"2023-02-01"|"1.48"|"1.48"|"1.43"|"1.53"|"4800"
"AACG"|"2023-02-02"|"1.5"|"1.43"|"1.4"|"1.5"|"7900"
"AACG"|"2023-02-03"|"1.5"|"1.5"|"1.49"|"1.62"|"6500"
"AACG"|"2023-02-06"|"1.63"|"1.67"|"1.55"|"1.69"|"13200"
"AACG"|"2023-02-07"|"1.71"|"1.6"|"1.54"|"1.79"|"34900"
"AACG"|"2023-02-08"|"1.64"|"1.65"|"1.6"|"1.69"|"6900"
"AACG"|"2023-02-09"|"1.71"|"1.71"|"1.62"|"1.78"|"14700"
"AACG"|"2023-02-10"|"1.7"|"1.74"|"1.65"|"1.8"|"11400"
"AACG"|"2023-02-13"|"1.79"|"1.77"|"1.75"|"1.82"|"13000"
"AACG"|"2023-02-14"|"1.85"|"1.78"|"1.77"|"1.85"|"8300"
"AACG"|"2023-02-15"|"1.79"|"1.85"|"1.79"|"1.86"|"10800"
"AACG"|"2023-02-16"|"1.85"|"2.0"|"1.85"|"2.04"|"87200"
"AACG"|"2023-02-17"|"2.18"|"2.15"|"2.04"|"2.32"|"172800"
"AACG"|"2023-02-21"|"2.25"|"1.86"|"1.84"|"2.25"|"55100"
"AACG"|"2023-02-22"|"1.94"|"1.9"|"1.85"|"2.01"|"15700"
"AACG"|"2023-02-23"|"1.88"|"1.95"|"1.85"|"1.95"|"22200"
"AACG"|"2023-02-24"|"1.94"|"1.87"|"1.82"|"1.94"|"57600"
"AACG"|"2023-02-27"|"1.9"|"1.89"|"1.83"|"1.91"|"24600"
"AACG"|"2023-02-28"|"1.87"|"1.9"|"1.84"|"1.9"|"8700"
"AACG"|"2023-03-01"|"1.95"|"1.93"|"1.9"|"1.95"|"8100"
"AACG"|"2023-03-02"|"1.95"|"1.99"|"1.88"|"1.99"|"12900"
"AACG"|"2023-03-03"|"1.98"|"1.91"|"1.9"|"1.98"|"5800"
"AACG"|"2023-03-06"|"1.98"|"1.95"|"1.91"|"1.98"|"647600"
"AACG"|"2023-03-07"|"2.09"|"2.32"|"2.06"|"2.43"|"385900"
"AACG"|"2023-03-08"|"2.32"|"2.42"|"2.32"|"2.48"|"64600"
"AACG"|"2023-03-09"|"2.44"|"2.47"|"2.28"|"2.49"|"80100"
"AACG"|"2023-03-10"|"2.48"|"2.0"|"2.0"|"2.48"|"38000"
"AACG"|"2023-03-13"|"2.06"|"1.99"|"1.96"|"2.22"|"26500"
"AACG"|"2023-03-14"|"1.94"|"1.92"|"1.81"|"2.0"|"40400"
"AACG"|"2023-03-15"|"1.8"|"1.99"|"1.8"|"1.99"|"24000"
"AACG"|"2023-03-16"|"1.93"|"1.87"|"1.87"|"1.98"|"15800"
"AACG"|"2023-03-17"|"1.88"|"1.9"|"1.88"|"1.96"|"15700"
"AACG"|"2023-03-20"|"1.89"|"1.8"|"1.8"|"1.93"|"10900"
"AACG"|"2023-03-21"|"1.8"|"1.9"|"1.8"|"1.93"|"5600"
"AACG"|"2023-03-22"|"1.93"|"1.87"|"1.87"|"1.97"|"5500"
"AACG"|"2023-03-23"|"1.86"|"1.76"|"1.76"|"1.86"|"17800"
"AACG"|"2023-03-24"|"1.8"|"1.88"|"1.8"|"1.89"|"8900"
"AACG"|"2023-03-27"|"1.9"|"1.82"|"1.8"|"1.9"|"9800"
"AACG"|"2023-03-28"|"1.88"|"1.81"|"1.81"|"1.89"|"10600"
"AACG"|"2023-03-29"|"1.85"|"1.83"|"1.81"|"1.86"|"5600"
"AACG"|"2023-03-30"|"1.82"|"1.87"|"1.82"|"1.87"|"6400"
"AACG"|"2023-03-31"|"1.99"|"1.93"|"1.84"|"2.05"|"16900"
"AACG"|"2023-04-03"|"1.98"|"1.91"|"1.85"|"1.98"|"23000"
"AACG"|"2023-04-04"|"1.93"|"1.89"|"1.87"|"1.94"|"7000"
"AACG"|"2023-04-05"|"1.9"|"1.87"|"1.84"|"1.9"|"8700"
"AACG"|"2023-04-06"|"1.87"|"1.84"|"1.81"|"1.9"|"9900"
"AACG"|"2023-04-10"|"1.83"|"1.83"|"1.81"|"1.9"|"17500"
"AACG"|"2023-04-11"|"1.9"|"1.97"|"1.85"|"1.97"|"8700"
"AACG"|"2023-04-12"|"1.97"|"1.88"|"1.88"|"1.98"|"13000"
"AACG"|"2023-04-13"|"1.94"|"1.9"|"1.89"|"1.95"|"12700"
"AACG"|"2023-04-14"|"1.93"|"1.85"|"1.83"|"1.98"|"19900"
"AACG"|"2023-04-17"|"1.98"|"1.85"|"1.83"|"1.98"|"12000"
"AACG"|"2023-04-18"|"1.93"|"1.89"|"1.86"|"1.94"|"10100"
